frame_index,recording_index,recording_id,subject_id,class_id,trial_id,center_index
0,0,S01_G01_T01,1,0,1,100
1,0,S01_G01_T01,1,0,1,112
2,0,S01_G01_T01,1,0,1,125
3,0,S01_G01_T01,1,0,1,138
4,0,S01_G01_T01,1,0,1,150
5,0,S01_G01_T01,1,0,1,163
6,0,S01_G01_T01,1,0,1,176
7,0,S01_G01_T01,1,0,1,188
8,0,S01_G01_T01,1,0,1,201
9,0,S01_G01_T01,1,0,1,214
10,0,S01_G01_T01,1,0,1,226
11,0,S01_G01_T01,1,0,1,239
12,0,S01_G01_T01,1,0,1,252
13,0,S01_G01_T01,1,0,1,265
14,0,S01_G01_T01,1,0,1,277
15,0,S01_G01_T01,1,0,1,290
16,0,S01_G01_T01,1,0,1,303
17,0,S01_G01_T01,1,0,1,315
18,0,S01_G01_T01,1,0,1,328
19,0,S01_G01_T01,1,0,1,341
20,0,S01_G01_T01,1,0,1,353
21,0,S01_G01_T01,1,0,1,366
22,0,S01_G01_T01,1,0,1,379
23,0,S01_G01_T01,1,0,1,392
24,0,S01_G01_T01,1,0,1,404
25,0,S01_G01_T01,1,0,1,417
26,0,S01_G01_T01,1,0,1,430
27,0,S01_G01_T01,1,0,1,442
28,0,S01_G01_T01,1,0,1,455
29,0,S01_G01_T01,1,0,1,468
30,0,S01_G01_T01,1,0,1,480
31,0,S01_G01_T01,1,0,1,493
32,0,S01_G01_T01,1,0,1,506
33,0,S01_G01_T01,1,0,1,519
34,0,S01_G01_T01,1,0,1,531
35,0,S01_G01_T01,1,0,1,544
36,0,S01_G01_T01,1,0,1,557
37,0,S01_G01_T01,1,0,1,569
38,0,S01_G01_T01,1,0,1,582
39,0,S01_G01_T01,1,0,1,595
40,0,S01_G01_T01,1,0,1,607
41,0,S01_G01_T01,1,0,1,620
42,0,S01_G01_T01,1,0,1,633
43,0,S01_G01_T01,1,0,1,646
44,0,S01_G01_T01,1,0,1,658
45,0,S01_G01_T01,1,0,1,671
46,0,S01_G01_T01,1,0,1,684
47,0,S01_G01_T01,1,0,1,696
48,0,S01_G01_T01,1,0,1,709
49,0,S01_G01_T01,1,0,1,722
50,0,S01_G01_T01,1,0,1,734
51,0,S01_G01_T01,1,0,1,747
52,0,S01_G01_T01,1,0,1,760
53,0,S01_G01_T01,1,0,1,773
54,0,S01_G01_T01,1,0,1,785
55,0,S01_G01_T01,1,0,1,798
56,0,S01_G01_T01,1,0,1,811
57,0,S01_G01_T01,1,0,1,823
58,0,S01_G01_T01,1,0,1,836
59,0,S01_G01_T01,1,0,1,849
60,0,S01_G01_T01,1,0,1,861
61,0,S01_G01_T01,1,0,1,874
62,0,S01_G01_T01,1,0,1,887
63,0,S01_G01_T01,1,0,1,900
64,1,S01_G01_T02,1,0,2,100
65,1,S01_G01_T02,1,0,2,112
66,1,S01_G01_T02,1,0,2,125
67,1,S01_G01_T02,1,0,2,138
68,1,S01_G01_T02,1,0,2,150
69,1,S01_G01_T02,1,0,2,163
70,1,S01_G01_T02,1,0,2,176
71,1,S01_G01_T02,1,0,2,188
72,1,S01_G01_T02,1,0,2,201
73,1,S01_G01_T02,1,0,2,214
74,1,S01_G01_T02,1,0,2,226
75,1,S01_G01_T02,1,0,2,239
76,1,S01_G01_T02,1,0,2,252
77,1,S01_G01_T02,1,0,2,265
78,1,S01_G01_T02,1,0,2,277
79,1,S01_G01_T02,1,0,2,290
80,1,S01_G01_T02,1,0,2,303
81,1,S01_G01_T02,1,0,2,315
82,1,S01_G01_T02,1,0,2,328
83,1,S01_G01_T02,1,0,2,341
84,1,S01_G01_T02,1,0,2,353
85,1,S01_G01_T02,1,0,2,366
86,1,S01_G01_T02,1,0,2,379
87,1,S01_G01_T02,1,0,2,392
88,1,S01_G01_T02,1,0,2,404
89,1,S01_G01_T02,1,0,2,417
90,1,S01_G01_T02,1,0,2,430
91,1,S01_G01_T02,1,0,2,442
92,1,S01_G01_T02,1,0,2,455
93,1,S01_G01_T02,1,0,2,468
94,1,S01_G01_T02,1,0,2,480
95,1,S01_G01_T02,1,0,2,493
96,1,S01_G01_T02,1,0,2,506
97,1,S01_G01_T02,1,0,2,519
98,1,S01_G01_T02,1,0,2,531
99,1,S01_G01_T02,1,0,2,544
100,1,S01_G01_T02,1,0,2,557
101,1,S01_G01_T02,1,0,2,569
102,1,S01_G01_T02,1,0,2,582
103,1,S01_G01_T02,1,0,2,595
104,1,S01_G01_T02,1,0,2,607
105,1,S01_G01_T02,1,0,2,620
106,1,S01_G01_T02,1,0,2,633
107,1,S01_G01_T02,1,0,2,646
108,1,S01_G01_T02,1,0,2,658
109,1,S01_G01_T02,1,0,2,671
110,1,S01_G01_T02,1,0,2,684
111,1,S01_G01_T02,1,0,2,696
112,1,S01_G01_T02,1,0,2,709
113,1,S01_G01_T02,1,0,2,722
114,1,S01_G01_T02,1,0,2,734
115,1,S01_G01_T02,1,0,2,747
116,1,S01_G01_T02,1,0,2,760
117,1,S01_G01_T02,1,0,2,773
118,1,S01_G01_T02,1,0,2,785
119,1,S01_G01_T02,1,0,2,798
120,1,S01_G01_T02,1,0,2,811
121,1,S01_G01_T02,1,0,2,823
122,1,S01_G01_T02,1,0,2,836
123,1,S01_G01_T02,1,0,2,849
124,1,S01_G01_T02,1,0,2,861
125,1,S01_G01_T02,1,0,2,874
126,1,S01_G01_T02,1,0,2,887
127,1,S01_G01_T02,1,0,2,900
128,2,S01_G01_T03,1,0,3,100
129,2,S01_G01_T03,1,0,3,112
130,2,S01_G01_T03,1,0,3,125
131,2,S01_G01_T03,1,0,3,138
132,2,S01_G01_T03,1,0,3,150
133,2,S01_G01_T03,1,0,3,163
134,2,S01_G01_T03,1,0,3,176
135,2,S01_G01_T03,1,0,3,188
136,2,S01_G01_T03,1,0,3,201
137,2,S01_G01_T03,1,0,3,214
138,2,S01_G01_T03,1,0,3,226
139,2,S01_G01_T03,1,0,3,239
140,2,S01_G01_T03,1,0,3,252
141,2,S01_G01_T03,1,0,3,265
142,2,S01_G01_T03,1,0,3,277
143,2,S01_G01_T03,1,0,3,290
144,2,S01_G01_T03,1,0,3,303
145,2,S01_G01_T03,1,0,3,315
146,2,S01_G01_T03,1,0,3,328
147,2,S01_G01_T03,1,0,3,341
148,2,S01_G01_T03,1,0,3,353
149,2,S01_G01_T03,1,0,3,366
150,2,S01_G01_T03,1,0,3,379
151,2,S01_G01_T03,1,0,3,392
152,2,S01_G01_T03,1,0,3,404
153,2,S01_G01_T03,1,0,3,417
154,2,S01_G01_T03,1,0,3,430
155,2,S01_G01_T03,1,0,3,442
156,2,S01_G01_T03,1,0,3,455
157,2,S01_G01_T03,1,0,3,468
158,2,S01_G01_T03,1,0,3,480
159,2,S01_G01_T03,1,0,3,493
160,2,S01_G01_T03,1,0,3,506
161,2,S01_G01_T03,1,0,3,519
162,2,S01_G01_T03,1,0,3,531
163,2,S01_G01_T03,1,0,3,544
164,2,S01_G01_T03,1,0,3,557
165,2,S01_G01_T03,1,0,3,569
166,2,S01_G01_T03,1,0,3,582
167,2,S01_G01_T03,1,0,3,595
168,2,S01_G01_T03,1,0,3,607
169,2,S01_G01_T03,1,0,3,620
170,2,S01_G01_T03,1,0,3,633
171,2,S01_G01_T03,1,0,3,646
172,2,S01_G01_T03,1,0,3,658
173,2,S01_G01_T03,1,0,3,671
174,2,S01_G01_T03,1,0,3,684
175,2,S01_G01_T03,1,0,3,696
176,2,S01_G01_T03,1,0,3,709
177,2,S01_G01_T03,1,0,3,722
178,2,S01_G01_T03,1,0,3,734
179,2,S01_G01_T03,1,0,3,747
180,2,S01_G01_T03,1,0,3,760
181,2,S01_G01_T03,1,0,3,773
182,2,S01_G01_T03,1,0,3,785
183,2,S01_G01_T03,1,0,3,798
184,2,S01_G01_T03,1,0,3,811
185,2,S01_G01_T03,1,0,3,823
186,2,S01_G01_T03,1,0,3,836
187,2,S01_G01_T03,1,0,3,849
188,2,S01_G01_T03,1,0,3,861
189,2,S01_G01_T03,1,0,3,874
190,2,S01_G01_T03,1,0,3,887
191,2,S01_G01_T03,1,0,3,900
192,3,S01_G01_T04,1,0,4,100
193,3,S01_G01_T04,1,0,4,112
194,3,S01_G01_T04,1,0,4,125
195,3,S01_G01_T04,1,0,4,138
196,3,S01_G01_T04,1,0,4,150
197,3,S01_G01_T04,1,0,4,163
198,3,S01_G01_T04,1,0,4,176
199,3,S01_G01_T04,1,0,4,188
200,3,S01_G01_T04,1,0,4,201
201,3,S01_G01_T04,1,0,4,214
202,3,S01_G01_T04,1,0,4,226
203,3,S01_G01_T04,1,0,4,239
204,3,S01_G01_T04,1,0,4,252
205,3,S01_G01_T04,1,0,4,265
206,3,S01_G01_T04,1,0,4,277
207,3,S01_G01_T04,1,0,4,290
208,3,S01_G01_T04,1,0,4,303
209,3,S01_G01_T04,1,0,4,315
210,3,S01_G01_T04,1,0,4,328
211,3,S01_G01_T04,1,0,4,341
212,3,S01_G01_T04,1,0,4,353
213,3,S01_G01_T04,1,0,4,366
214,3,S01_G01_T04,1,0,4,379
215,3,S01_G01_T04,1,0,4,392
216,3,S01_G01_T04,1,0,4,404
217,3,S01_G01_T04,1,0,4,417
218,3,S01_G01_T04,1,0,4,430
219,3,S01_G01_T04,1,0,4,442
220,3,S01_G01_T04,1,0,4,455
221,3,S01_G01_T04,1,0,4,468
222,3,S01_G01_T04,1,0,4,480
223,3,S01_G01_T04,1,0,4,493
224,3,S01_G01_T04,1,0,4,506
225,3,S01_G01_T04,1,0,4,519
226,3,S01_G01_T04,1,0,4,531
227,3,S01_G01_T04,1,0,4,544
228,3,S01_G01_T04,1,0,4,557
229,3,S01_G01_T04,1,0,4,569
230,3,S01_G01_T04,1,0,4,582
231,3,S01_G01_T04,1,0,4,595
232,3,S01_G01_T04,1,0,4,607
233,3,S01_G01_T04,1,0,4,620
234,3,S01_G01_T04,1,0,4,633
235,3,S01_G01_T04,1,0,4,646
236,3,S01_G01_T04,1,0,4,658
237,3,S01_G01_T04,1,0,4,671
238,3,S01_G01_T04,1,0,4,684
239,3,S01_G01_T04,1,0,4,696
240,3,S01_G01_T04,1,0,4,709
241,3,S01_G01_T04,1,0,4,722
242,3,S01_G01_T04,1,0,4,734
243,3,S01_G01_T04,1,0,4,747
244,3,S01_G01_T04,1,0,4,760
245,3,S01_G01_T04,1,0,4,773
246,3,S01_G01_T04,1,0,4,785
247,3,S01_G01_T04,1,0,4,798
248,3,S01_G01_T04,1,0,4,811
249,3,S01_G01_T04,1,0,4,823
250,3,S01_G01_T04,1,0,4,836
251,3,S01_G01_T04,1,0,4,849
252,3,S01_G01_T04,1,0,4,861
253,3,S01_G01_T04,1,0,4,874
254,3,S01_G01_T04,1,0,4,887
255,3,S01_G01_T04,1,0,4,900
256,4,S01_G01_T05,1,0,5,100
257,4,S01_G01_T05,1,0,5,112
258,4,S01_G01_T05,1,0,5,125
259,4,S01_G01_T05,1,0,5,138
260,4,S01_G01_T05,1,0,5,150
261,4,S01_G01_T05,1,0,5,163
262,4,S01_G01_T05,1,0,5,176
263,4,S01_G01_T05,1,0,5,188
264,4,S01_G01_T05,1,0,5,201
265,4,S01_G01_T05,1,0,5,214
266,4,S01_G01_T05,1,0,5,226
267,4,S01_G01_T05,1,0,5,239
268,4,S01_G01_T05,1,0,5,252
269,4,S01_G01_T05,1,0,5,265
270,4,S01_G01_T05,1,0,5,277
271,4,S01_G01_T05,1,0,5,290
272,4,S01_G01_T05,1,0,5,303
273,4,S01_G01_T05,1,0,5,315
274,4,S01_G01_T05,1,0,5,328
275,4,S01_G01_T05,1,0,5,341
276,4,S01_G01_T05,1,0,5,353
277,4,S01_G01_T05,1,0,5,366
278,4,S01_G01_T05,1,0,5,379
279,4,S01_G01_T05,1,0,5,392
280,4,S01_G01_T05,1,0,5,404
281,4,S01_G01_T05,1,0,5,417
282,4,S01_G01_T05,1,0,5,430
283,4,S01_G01_T05,1,0,5,442
284,4,S01_G01_T05,1,0,5,455
285,4,S01_G01_T05,1,0,5,468
286,4,S01_G01_T05,1,0,5,480
287,4,S01_G01_T05,1,0,5,493
288,4,S01_G01_T05,1,0,5,506
289,4,S01_G01_T05,1,0,5,519
290,4,S01_G01_T05,1,0,5,531
291,4,S01_G01_T05,1,0,5,544
