dataset_name,fold_id,model_name,model_display_name,class_id,class_name,precision,recall,f1,support
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,0,Gesture1,0.9107142857142857,0.9444444444444444,0.9272727272727272,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,1,Gesture2,0.8518518518518519,0.8518518518518519,0.8518518518518519,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,2,Gesture3,0.8666666666666667,0.9629629629629629,0.9122807017543859,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,3,Gesture4,0.746031746031746,0.8703703703703703,0.8034188034188035,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,4,Gesture5,0.8928571428571429,0.9259259259259259,0.9090909090909091,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,5,Gesture6,0.9795918367346939,0.8888888888888888,0.9320388349514563,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,6,Gesture7,0.9347826086956522,0.7962962962962963,0.86,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,7,Gesture8,0.9583333333333334,0.8518518518518519,0.9019607843137255,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialTemporalResNetSE,HD-sEMG Spatial-Temporal ResNet-SE,0,Gesture1,0.9622641509433962,0.9444444444444444,0.9532710280373832,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialTemporalResNetSE,HD-sEMG Spatial-Temporal ResNet-SE,1,Gesture2,0.8392857142857143,0.8703703703703703,0.8545454545454545,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialTemporalResNetSE,HD-sEMG Spatial-Temporal ResNet-SE,2,Gesture3,0.9444444444444444,0.9444444444444444,0.9444444444444444,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialTemporalResNetSE,HD-sEMG Spatial-Temporal ResNet-SE,3,Gesture4,0.796875,0.9444444444444444,0.864406779661017,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialTemporalResNetSE,HD-sEMG Spatial-Temporal ResNet-SE,4,Gesture5,0.9285714285714286,0.9629629629629629,0.9454545454545454,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialTemporalResNetSE,HD-sEMG Spatial-Temporal ResNet-SE,5,Gesture6,0.9811320754716981,0.9629629629629629,0.9719626168224299,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialTemporalResNetSE,HD-sEMG Spatial-Temporal ResNet-SE,6,Gesture7,0.9433962264150944,0.9259259259259259,0.9345794392523364,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold1,SpatialTemporalResNetSE,HD-sEMG Spatial-Temporal ResNet-SE,7,Gesture8,1.0,0.7962962962962963,0.8865979381443299,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,0,Gesture1,1.0,0.9814814814814815,0.9906542056074766,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,1,Gesture2,0.8928571428571429,0.9259259259259259,0.9090909090909091,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,2,Gesture3,1.0,0.8888888888888888,0.9411764705882353,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,3,Gesture4,0.7903225806451613,0.9074074074074074,0.8448275862068966,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,4,Gesture5,0.94,0.8703703703703703,0.9038461538461539,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,5,Gesture6,0.9642857142857143,1.0,0.9818181818181818,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,6,Gesture7,0.9622641509433962,0.9444444444444444,0.9532710280373832,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,SpatialRMSCNN,HD-sEMG Spatial RMS CNN,7,Gesture8,0.8888888888888888,0.8888888888888888,0.8888888888888888,54
CapgMyo_DBa_full_spatial,capgmyo_trial_fold2,SpatialTemporalResNetSE,HD-sEMG Spatial-Temporal ResNet-SE,0,Gesture1,0.9818181818181818,1.0,0.9908256880733946,54
