subject_id,source_file,condition,channel_index,channel_semantic,dtype,sample_count,nan_count,inf_count,constant_channel,min,max,mean,std,median,mad,max_abs,abs_gt_1000_count,robust_extreme_count_mad20,quality_status,notes
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,1,EMG electrode 1,float64,75600,0,0,False,-0.000202594,0.000136797,-3.916925935582011e-07,1.4182494408350908e-05,-1.67849e-07,4.699779e-06,0.000202594,0,13,ok,extreme thresholds are audit flags only; units differ by modality
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,2,EMG electrode 2,float64,75600,0,0,False,-8.44282e-05,0.000106584,3.7991169993253967e-06,1.066740014170124e-05,3.52483e-06,3.6926899999999995e-06,0.000106584,0,0,ok,extreme thresholds are audit flags only; units differ by modality
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,3,EMG electrode 3,float64,75600,0,0,False,-5.33761e-05,8.20783e-05,8.508852218822752e-06,5.507236339981052e-06,8.56031e-06,2.3498899999999986e-06,8.20783e-05,0,1,ok,extreme thresholds are audit flags only; units differ by modality
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,4,EMG electrode 4,float64,75600,0,0,False,-7.15038e-05,9.9031e-06,-2.1350682844629633e-05,4.770084815089473e-06,-2.13169e-05,2.3498999999999993e-06,7.15038e-05,0,0,ok,extreme thresholds are audit flags only; units differ by modality
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,5,EMG electrode 5,float64,75600,0,0,False,-5.52224e-05,8.56031e-06,-1.9285449604179898e-05,3.5448611414562023e-06,-1.93027e-05,2.1821000000000007e-06,5.52224e-05,0,0,ok,extreme thresholds are audit flags only; units differ by modality
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,6,EMG electrode 6,float64,75600,0,0,False,-4.11231e-05,2.16526e-05,-8.17382888637566e-06,5.606656387351064e-06,-8.22461e-06,3.0212799999999996e-06,4.11231e-05,0,0,ok,extreme thresholds are audit flags only; units differ by modality
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,7,ACC.X electrode 1,float64,75600,0,0,False,-0.7949454536455497,-0.008407751679338042,-0.5304325301750861,0.20968078947572685,-0.5969316466608641,0.07683253432269721,0.7949454536455497,0,0,ok,extreme thresholds are audit flags only; units differ by modality
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,8,ACC.Y electrode 1,float64,75600,0,0,False,-1.1186498183050682,-0.09088451982044843,-0.7608028921298988,0.12086734188151088,-0.726331218243702,0.04569744751672056,1.1186498183050682,0,0,ok,extreme thresholds are audit flags only; units differ by modality
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,9,ACC.Z electrode 1,float64,75600,0,0,False,-0.02967046113828947,0.31956103258906465,0.21268186068911685,0.09411685646868491,0.2500394155726948,0.031290736227601396,0.31956103258906465,0,0,ok,extreme thresholds are audit flags only; units differ by modality
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,10,GYRO.X electrode 1,float64,75600,0,0,False,-26.481210345934578,11.126200029262618,-12.803700522094818,2.1074779327509487,-12.873064257723062,0.8388562717288783,26.481210345934578,0,0,ok,extreme thresholds are audit flags only; units differ by modality
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,11,GYRO.Y electrode 1,float64,75600,0,0,False,-56.25522940455533,49.61117380637939,0.24957202670415288,4.836871293707433,0.1247713230889688,1.871312090086982,56.25522940455533,0,9,ok,extreme thresholds are audit flags only; units differ by modality
