subject_id,source_file,condition,recording_id,action_label,action_name,start_index,end_index,sample_count,duration_seconds,sampling_rate,channel_count,label_column,usable_status,boundary_rule
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,S01_StaticP1_seg0001,1,HandOpen,1,15120,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,S01_StaticP1_seg0002,2,Lateral grip,15121,30240,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,S01_StaticP1_seg0003,3,Pinch grip,30241,45360,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,S01_StaticP1_seg0004,4,Power grip,45361,60480,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,S01_StaticP1_seg0005,5,Rest,60481,75600,15120,12.0,1260.0,42,43,usable_rest,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP2/subject1_limb_EMG.mat,StaticP2,S01_StaticP2_seg0001,1,HandOpen,1,15120,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP2/subject1_limb_EMG.mat,StaticP2,S01_StaticP2_seg0002,2,Lateral grip,15121,30240,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP2/subject1_limb_EMG.mat,StaticP2,S01_StaticP2_seg0003,3,Pinch grip,30241,45360,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP2/subject1_limb_EMG.mat,StaticP2,S01_StaticP2_seg0004,4,Power grip,45361,60480,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP2/subject1_limb_EMG.mat,StaticP2,S01_StaticP2_seg0005,5,Rest,60481,75600,15120,12.0,1260.0,42,43,usable_rest,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP3/subject1_limb_EMG.mat,StaticP3,S01_StaticP3_seg0001,1,HandOpen,1,15120,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP3/subject1_limb_EMG.mat,StaticP3,S01_StaticP3_seg0002,2,Lateral grip,15121,30240,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP3/subject1_limb_EMG.mat,StaticP3,S01_StaticP3_seg0003,3,Pinch grip,30241,45360,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP3/subject1_limb_EMG.mat,StaticP3,S01_StaticP3_seg0004,4,Power grip,45361,60480,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP3/subject1_limb_EMG.mat,StaticP3,S01_StaticP3_seg0005,5,Rest,60481,75600,15120,12.0,1260.0,42,43,usable_rest,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP4/subject1_limb_EMG.mat,StaticP4,S01_StaticP4_seg0001,1,HandOpen,1,15120,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP4/subject1_limb_EMG.mat,StaticP4,S01_StaticP4_seg0002,2,Lateral grip,15121,30240,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP4/subject1_limb_EMG.mat,StaticP4,S01_StaticP4_seg0003,3,Pinch grip,30241,45360,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP4/subject1_limb_EMG.mat,StaticP4,S01_StaticP4_seg0004,4,Power grip,45361,60480,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP4/subject1_limb_EMG.mat,StaticP4,S01_StaticP4_seg0005,5,Rest,60481,75600,15120,12.0,1260.0,42,43,usable_rest,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP9/subject1_limb_EMG.mat,StaticP9,S01_StaticP9_seg0001,1,HandOpen,1,15120,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP9/subject1_limb_EMG.mat,StaticP9,S01_StaticP9_seg0002,2,Lateral grip,15121,30240,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP9/subject1_limb_EMG.mat,StaticP9,S01_StaticP9_seg0003,3,Pinch grip,30241,45360,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP9/subject1_limb_EMG.mat,StaticP9,S01_StaticP9_seg0004,4,Power grip,45361,60480,15120,12.0,1260.0,42,43,usable_active_action,original contiguous label run; do not cross this boundary when windowing
1,data/limb/subject01/StaticP9/subject1_limb_EMG.mat,StaticP9,S01_StaticP9_seg0005,5,Rest,60481,75600,15120,12.0,1260.0,42,43,usable_rest,original contiguous label run; do not cross this boundary when windowing
