protocol_id,subject_id,fold_id,fold_index,test_condition_rule,validation_condition_rule,split,condition,recording_id,action_code,action_meaning,label_id,sample_count
stratified_recording_rescue,1,stratified_S01_fold01,1,condition=(fold_index+action_index)%4,condition=(fold_index+action_index+1)%4,validation,Dynamic,S01_Dynamic_HO_cell01,HO,hand open,3,675
stratified_recording_rescue,1,stratified_S01_fold01,1,condition=(fold_index+action_index)%4,condition=(fold_index+action_index+1)%4,train,Dynamic,S01_Dynamic_RT_cell02,RT,rest,5,675
stratified_recording_rescue,1,stratified_S01_fold01,1,condition=(fold_index+action_index)%4,condition=(fold_index+action_index+1)%4,test,Dynamic,S01_Dynamic_ET_cell03,ET,wrist extension,0,675
stratified_recording_rescue,1,stratified_S01_fold01,1,condition=(fold_index+action_index)%4,condition=(fold_index+action_index+1)%4,test,Dynamic,S01_Dynamic_PN_cell04,PN,forearm pronation,4,675
stratified_recording_rescue,1,stratified_S01_fold01,1,condition=(fold_index+action_index)%4,condition=(fold_index+action_index+1)%4,train,Dynamic,S01_Dynamic_SN_cell05,SN,forearm supination,6,675
stratified_recording_rescue,1,stratified_S01_fold01,1,condition=(fold_index+action_index)%4,condition=(fold_index+action_index+1)%4,train,Dynamic,S01_Dynamic_HC_cell06,HC,hand close,2,675
stratified_recording_rescue,1,stratified_S01_fold01,1,condition=(fold_index+action_index)%4,condition=(fold_index+action_index+1)%4,train,Dynamic,S01_Dynamic_FL_cell07,FL,wrist flexion,1,675
stratified_recording_rescue,1,stratified_S01_fold01,1,condition=(fold_index+action_index)%4,condition=(fold_index+action_index+1)%4,validation,P0,S01_P0_PN_cell01,PN,forearm pronation,4,584
stratified_recording_rescue,1,stratified_S01_fold01,1,condition=(fold_index+action_index)%4,condition=(fold_index+action_index+1)%4,test,P0,S01_P0_FL_cell02,FL,wrist flexion,1,584
stratified_recording_rescue,1,stratified_S01_fold01,1,condition=(fold_index+action_index)%4,condition=(fold_index+action_index+1)%4,test,P0,S01_P0_RT_cell03,RT,rest,5,584
stratified_recording_rescue,1,stratified_S01_fold01,1,condition=(fold_index+action_index)%4,condition=(fold_index+action_index+1)%4,train,P0,S01_P0_SN_cell04,SN,forearm supination,6,584
