subject_id,fold_id,fold_index,selected_candidate,candidate_level,selected_aggregation_method,validation_selected_recording_macro_f1,final_fit_scope,test_recording_count,test_sample_count,final_fit_seconds,avg_inference_ms_per_recording,test_sample_accuracy,test_sample_balanced_accuracy,test_sample_macro_precision,test_sample_macro_recall,test_sample_macro_f1,test_recording_accuracy,test_recording_balanced_accuracy,test_recording_macro_precision,test_recording_macro_recall,test_recording_macro_f1
1,stratified_S01_fold01,1,recording_raw_knn1_k80,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4668,0.0018531999085098505,1.9110714284969228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,stratified_S01_fold02,2,recording_raw_rbf_k80,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4693,0.0030622000340372324,0.1470000050695879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,stratified_S01_fold03,3,recording_raw_knn1_k80,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4784,0.001967600081115961,1.7445571387984924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,stratified_S01_fold04,4,recording_raw_knn1_k80,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4643,0.001976399915292859,1.7363571428826876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,stratified_S02_fold01,5,recording_raw_knn1_k80,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4668,0.001984999980777502,1.888757139178259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,stratified_S02_fold02,6,recording_raw_knn1_k80,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4693,0.0018839000258594751,1.7423857103234954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,stratified_S02_fold03,7,recording_raw_knn1_k80,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4784,0.0018961000023409724,1.8461285757699184,0.8484531772575251,0.8571428571428571,0.7831632653061223,0.8571428571428571,0.8072289156626506,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238095
2,stratified_S02_fold04,8,recording_raw_knn1_k80,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4643,0.0019432000117376447,1.634114288858005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,stratified_S03_fold01,9,recording_raw_extra_trees,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4110,0.1333351000212133,4.228471429087222,0.8418491484184915,0.8571428571428571,0.7775737544375076,0.8571428571428571,0.8020020359687818,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238095
3,stratified_S03_fold02,10,recording_raw_logreg_k120,recording,recording_direct,0.8095238095238095,train_plus_validation_after_validation_selection,7,4002,0.006242400035262108,0.12967141810804605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,stratified_S03_fold03,11,recording_raw_rbf_k80,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4035,0.0030005000298842788,0.13531428495688097,0.7189591078066915,0.7142857142857143,0.57494689143948,0.7142857142857143,0.6218196064445333,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.619047619047619
3,stratified_S03_fold04,12,recording_raw_extra_trees,recording,recording_direct,0.8095238095238095,train_plus_validation_after_validation_selection,7,4135,0.13349510007537901,2.51658571817513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,stratified_S04_fold01,13,recording_raw_extra_trees,recording,recording_direct,0.8095238095238094,train_plus_validation_after_validation_selection,7,4872,0.1428045000648126,4.120428564159998,0.854679802955665,0.8571428571428571,0.7848463187991422,0.8571428571428571,0.8087491455912509,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
4,stratified_S04_fold02,14,recording_raw_knn1_k80,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4872,0.0020480999955907464,1.534042863308319,0.854679802955665,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
4,stratified_S04_fold03,15,recording_raw_knn1_k80,recording,recording_direct,1.0,train_plus_validation_after_validation_selection,7,4897,0.0019503000658005476,1.3510571360321981,0.8605268531754136,0.8571428571428571,0.7869980486802917,0.8571428571428571,0.8106581365275982,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
4,stratified_S04_fold04,16,recording_raw_knn1_k80,recording,recording_direct,0.8095238095238094,train_plus_validation_after_validation_selection,7,4889,0.0018977000145241618,1.5248857172472137,0.8586623031294743,0.8571428571428571,0.7852983988355167,0.8571428571428571,0.8091534134314883,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
