subject_id,fold_id,fold_index,candidate_name,candidate_level,aggregation_method,selection_status,selection_fit_seconds,val_sample_accuracy,val_sample_balanced_accuracy,val_sample_macro_precision,val_sample_macro_recall,val_sample_macro_f1,val_recording_accuracy,val_recording_balanced_accuracy,val_recording_macro_precision,val_recording_macro_recall,val_recording_macro_f1
1,stratified_S01_fold01,1,raw_all_logreg_pca80,sample,mean_prob,ok,0.11057100002653897,0.7741316854890262,0.7551278424559349,0.7257434695004373,0.7551278424559349,0.7136662143740986,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.619047619047619
1,stratified_S01_fold01,1,raw_all_logreg_pca80,sample,confidence_weighted,ok,0.11057100002653897,0.7741316854890262,0.7551278424559349,0.7257434695004373,0.7551278424559349,0.7136662143740986,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.619047619047619
1,stratified_S01_fold01,1,raw_all_logreg_pca80,sample,majority_vote,ok,0.11057100002653897,0.7741316854890262,0.7551278424559349,0.7257434695004373,0.7551278424559349,0.7136662143740986,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.619047619047619
1,stratified_S01_fold01,1,raw_all_linear_svm_pca80,sample,mean_prob,ok,0.222548000048846,0.8080119326656723,0.7903779289493575,0.7450174999938026,0.7903779289493575,0.7483123806258958,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
1,stratified_S01_fold01,1,raw_all_linear_svm_pca80,sample,confidence_weighted,ok,0.222548000048846,0.8080119326656723,0.7903779289493575,0.7450174999938026,0.7903779289493575,0.7483123806258958,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
1,stratified_S01_fold01,1,raw_all_linear_svm_pca80,sample,majority_vote,ok,0.222548000048846,0.8080119326656723,0.7903779289493575,0.7450174999938026,0.7903779289493575,0.7483123806258958,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
1,stratified_S01_fold01,1,raw_all_lda_k120,sample,mean_prob,ok,0.08452050003688782,0.8041764329852973,0.7866051554721505,0.7455875843214409,0.7866051554721505,0.7441224195447733,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
1,stratified_S01_fold01,1,raw_all_lda_k120,sample,confidence_weighted,ok,0.08452050003688782,0.8041764329852973,0.7866051554721505,0.7455875843214409,0.7866051554721505,0.7441224195447733,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
1,stratified_S01_fold01,1,raw_all_lda_k120,sample,majority_vote,ok,0.08452050003688782,0.8041764329852973,0.7866051554721505,0.7455875843214409,0.7866051554721505,0.7441224195447733,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
1,stratified_S01_fold01,1,raw_all_extra_trees_subset,sample,mean_prob,ok,0.25559790001716465,0.6831451097379075,0.6588588366643566,0.6790550491287483,0.6588588366643566,0.5882966761605088,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.619047619047619
1,stratified_S01_fold01,1,raw_all_extra_trees_subset,sample,confidence_weighted,ok,0.25559790001716465,0.6831451097379075,0.6588588366643566,0.6790550491287483,0.6588588366643566,0.5882966761605088,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.619047619047619
1,stratified_S01_fold01,1,raw_all_extra_trees_subset,sample,majority_vote,ok,0.25559790001716465,0.6831451097379075,0.6588588366643566,0.6790550491287483,0.6588588366643566,0.5882966761605088,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.619047619047619
1,stratified_S01_fold01,1,raw_all_hist_gb_subset,sample,mean_prob,ok,2.3372051999904215,0.8589388450884295,0.8404597790409923,0.7490097427134305,0.8404597790409923,0.7872365654366086,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
1,stratified_S01_fold01,1,raw_all_hist_gb_subset,sample,confidence_weighted,ok,2.3372051999904215,0.8589388450884295,0.8404597790409923,0.7490097427134305,0.8404597790409923,0.7872365654366086,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
1,stratified_S01_fold01,1,raw_all_hist_gb_subset,sample,majority_vote,ok,2.3372051999904215,0.8589388450884295,0.8404597790409923,0.7490097427134305,0.8404597790409923,0.7872365654366086,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
