dataset_name,fold_id,split_unit,split_value,split
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,19,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,20,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,21,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,22,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,23,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,24,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,25,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,26,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,27,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,28,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,29,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,30,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,31,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,32,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,33,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,34,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,35,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,36,train
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,13,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,14,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,15,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,16,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,17,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,18,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,1,test
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,2,test
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,3,test
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,4,test
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,5,test
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,6,test
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,7,test
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,8,test
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,9,test
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,10,test
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,11,test
UCI_EMG_Data_for_Gestures,uci_subject_fold1,subject_id,12,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,1,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,2,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,3,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,4,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,5,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,6,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,7,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,8,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,9,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,10,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,11,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,12,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,31,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,32,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,33,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,34,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,35,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,36,train
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,25,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,26,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,27,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,28,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,29,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,30,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,13,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,14,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,15,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,16,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,17,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,18,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,19,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,20,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,21,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,22,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,23,test
UCI_EMG_Data_for_Gestures,uci_subject_fold2,subject_id,24,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,7,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,8,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,9,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,10,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,11,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,12,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,13,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,14,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,15,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,16,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,17,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,18,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,19,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,20,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,21,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,22,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,23,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,24,train
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,1,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,2,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,3,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,4,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,5,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,6,validation
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,25,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,26,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,27,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,28,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,29,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,30,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,31,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,32,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,33,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,34,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,35,test
UCI_EMG_Data_for_Gestures,uci_subject_fold3,subject_id,36,test
