dataset_name,fold_id,model_name,model_display_name,epoch,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,1,0.6236946419724878,0.8047001620745543,0.805927240264131,0.8079545822963312,0.805927240264131,0.8028667421601495
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,2,0.3492208221610987,0.8095623987034035,0.8097166120840321,0.8113630745661814,0.8097166120840321,0.8087645940680898
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,3,0.30975322509711645,0.7641815235008104,0.7669099365288775,0.7847406686914079,0.7669099365288775,0.7581027493315035
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,4,0.23086128130836306,0.7949756888168558,0.7962419183928483,0.8058735170152177,0.7962419183928483,0.7889038114113296
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,5,0.2126639410853386,0.8018638573743923,0.8011176700131265,0.8297313401424494,0.8011176700131265,0.8008861133170412
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,6,0.18720665011765822,0.7982171799027553,0.7989540990623087,0.8050278349570679,0.7989540990623087,0.793200251897091
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,7,0.15178964933696784,0.8018638573743923,0.8048023631903355,0.8093928246483079,0.8048023631903355,0.7988514629901472
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,8,0.15527760335859261,0.7929497568881686,0.795698964515319,0.8018630585554692,0.795698964515319,0.7933859776039428
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,9,0.13552729785442352,0.8123987034035657,0.8137696780478348,0.8202538497523673,0.8137696780478348,0.8101570386571787
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,10,0.11363905752604862,0.8083468395461912,0.8103213480360126,0.8128537279117826,0.8103213480360126,0.8069096161502126
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,11,0.10774228658597425,0.7917341977309562,0.7938324379995789,0.8045674804721364,0.7938324379995789,0.7854076492553572
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,12,0.07713193397195835,0.793354943273906,0.7952577260495363,0.7984802212307338,0.7952577260495363,0.7917261664858949
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,13,0.07514427194617829,0.8091572123176661,0.8106686700377024,0.8146712893833757,0.8106686700377024,0.8065179391379053
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,14,0.09074181142561841,0.799837925445705,0.800124101106129,0.8144488385243708,0.800124101106129,0.7961294827162182
UCI_EMG_Data_for_Gestures,uci_subject_fold1,LSTMTransformer,LSTM-Transformer,15,0.10423423216309187,0.7982171799027553,0.7986475305027985,0.8057024176586102,0.7986475305027985,0.7958447195204994
