fold_id,subject_id,fold_index,test_class_segment_index,validation_class_segment_index,split_rule,split,source_file,condition,recording_id,segment_id,class_segment_index,action_label,action_name,y,start_index,end_index,sample_count,sampling_rate,channel_count,label_column
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",test,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,S01_StaticP1_seg0001,S01_StaticP1_seg0001,0,1,HandOpen,0,1,15120,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",validation,data/limb/subject01/StaticP2/subject1_limb_EMG.mat,StaticP2,S01_StaticP2_seg0001,S01_StaticP2_seg0001,1,1,HandOpen,0,1,15120,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP3/subject1_limb_EMG.mat,StaticP3,S01_StaticP3_seg0001,S01_StaticP3_seg0001,2,1,HandOpen,0,1,15120,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP4/subject1_limb_EMG.mat,StaticP4,S01_StaticP4_seg0001,S01_StaticP4_seg0001,3,1,HandOpen,0,1,15120,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP9/subject1_limb_EMG.mat,StaticP9,S01_StaticP9_seg0001,S01_StaticP9_seg0001,4,1,HandOpen,0,1,15120,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP10/subject1_limb_EMG.mat,StaticP10,S01_StaticP10_seg0001,S01_StaticP10_seg0001,5,1,HandOpen,0,1,15120,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP14/subject1_limb_EMG.mat,StaticP14,S01_StaticP14_seg0001,S01_StaticP14_seg0001,6,1,HandOpen,0,1,15120,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/Dynamic/subject1_limb_EMG.mat,Dynamic,S01_Dynamic_seg0001,S01_Dynamic_seg0001,7,1,HandOpen,0,1,122358,122358,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",test,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,S01_StaticP1_seg0002,S01_StaticP1_seg0002,0,2,Lateral,1,15121,30240,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",validation,data/limb/subject01/StaticP2/subject1_limb_EMG.mat,StaticP2,S01_StaticP2_seg0002,S01_StaticP2_seg0002,1,2,Lateral,1,15121,30240,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP3/subject1_limb_EMG.mat,StaticP3,S01_StaticP3_seg0002,S01_StaticP3_seg0002,2,2,Lateral,1,15121,30240,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP4/subject1_limb_EMG.mat,StaticP4,S01_StaticP4_seg0002,S01_StaticP4_seg0002,3,2,Lateral,1,15121,30240,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP9/subject1_limb_EMG.mat,StaticP9,S01_StaticP9_seg0002,S01_StaticP9_seg0002,4,2,Lateral,1,15121,30240,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP10/subject1_limb_EMG.mat,StaticP10,S01_StaticP10_seg0002,S01_StaticP10_seg0002,5,2,Lateral,1,15121,30240,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP14/subject1_limb_EMG.mat,StaticP14,S01_StaticP14_seg0002,S01_StaticP14_seg0002,6,2,Lateral,1,15121,30240,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/Dynamic/subject1_limb_EMG.mat,Dynamic,S01_Dynamic_seg0002,S01_Dynamic_seg0002,7,2,Lateral,1,122359,235072,112714,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",test,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,S01_StaticP1_seg0003,S01_StaticP1_seg0003,0,3,Pinch,2,30241,45360,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",validation,data/limb/subject01/StaticP2/subject1_limb_EMG.mat,StaticP2,S01_StaticP2_seg0003,S01_StaticP2_seg0003,1,3,Pinch,2,30241,45360,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP3/subject1_limb_EMG.mat,StaticP3,S01_StaticP3_seg0003,S01_StaticP3_seg0003,2,3,Pinch,2,30241,45360,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP4/subject1_limb_EMG.mat,StaticP4,S01_StaticP4_seg0003,S01_StaticP4_seg0003,3,3,Pinch,2,30241,45360,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP9/subject1_limb_EMG.mat,StaticP9,S01_StaticP9_seg0003,S01_StaticP9_seg0003,4,3,Pinch,2,30241,45360,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP10/subject1_limb_EMG.mat,StaticP10,S01_StaticP10_seg0003,S01_StaticP10_seg0003,5,3,Pinch,2,30241,45360,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP14/subject1_limb_EMG.mat,StaticP14,S01_StaticP14_seg0003,S01_StaticP14_seg0003,6,3,Pinch,2,30241,45360,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/Dynamic/subject1_limb_EMG.mat,Dynamic,S01_Dynamic_seg0003,S01_Dynamic_seg0003,7,3,Pinch,2,235073,345375,110303,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",test,data/limb/subject01/StaticP1/subject1_limb_EMG.mat,StaticP1,S01_StaticP1_seg0004,S01_StaticP1_seg0004,0,4,Power,3,45361,60480,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",validation,data/limb/subject01/StaticP2/subject1_limb_EMG.mat,StaticP2,S01_StaticP2_seg0004,S01_StaticP2_seg0004,1,4,Power,3,45361,60480,15120,1260.0,42,43
S01_personal_fold01,1,1,0,1,"per class: test=i, validation=(i+1)%8, train=remaining 6 segment indices",train,data/limb/subject01/StaticP3/subject1_limb_EMG.mat,StaticP3,S01_StaticP3_seg0004,S01_StaticP3_seg0004,2,4,Power,3,45361,60480,15120,1260.0,42,43
