feature_set,model,mean_static_lopo_accuracy,std_static_lopo_accuracy,mean_static_lopo_macro_f1,std_static_lopo_macro_f1,position1_accuracy,position2down_accuracy,position3up_accuracy,selection_seconds
emg_plus_imu_invariant,extra_trees,0.9053571428571429,0.12626906806902638,0.8903601835652704,0.14746052699314446,0.7267857142857143,0.9946428571428572,0.9946428571428572,9.303047200000947
emg_plus_imu_invariant,random_forest,0.8589285714285714,0.09416433384624714,0.8209605281024555,0.12313666514083918,0.7785714285714286,0.8071428571428572,0.9910714285714286,20.282763510000223
emg_time_frequency,soft_voting_ensemble,0.7738095238095237,0.15257381767941,0.7434413341684003,0.17374721576805652,0.6928571428571428,0.6410714285714286,0.9875,22.70307715799936
emg_relative_frequency,rbf_svm_c1,0.7529761904761904,0.12830936696435552,0.7234301835578641,0.13944610828095566,0.5964285714285714,0.7517857142857143,0.9107142857142857,0.38468278599975747
emg_relative_frequency,soft_voting_ensemble,0.736904761904762,0.1410174198402903,0.7174842406960708,0.15068517705729673,0.5821428571428572,0.7053571428571429,0.9232142857142858,26.316209092999998
emg_relative_frequency,rbf_svm_c20,0.7404761904761905,0.1314034439402753,0.7170092759076051,0.14370666063655577,0.6,0.7053571428571429,0.9160714285714285,0.3029186820003815
emg_basic,soft_voting_ensemble,0.7553571428571427,0.11617669219565434,0.7159659517661279,0.14439393633231754,0.625,0.7339285714285714,0.9071428571428571,29.04047194499981
emg_relative_frequency,rbf_svm_c5,0.7380952380952381,0.12308337881529567,0.7131488171262262,0.13531076779038534,0.6017857142857143,0.7125,0.9,0.27826929399998335
emg_time_frequency,rbf_svm_c1,0.7505952380952382,0.16746619451057837,0.7115440163767935,0.19477411389840885,0.5660714285714286,0.7142857142857143,0.9714285714285714,0.4581465070004924
emg_time_frequency,extra_trees,0.7482142857142856,0.16673255500339212,0.7091630555013922,0.1944645415090015,0.6357142857142857,0.625,0.9839285714285714,9.03167068699986
emg_plus_imu_invariant,soft_voting_ensemble,0.7303571428571428,0.16290177959714983,0.7087033015270615,0.17744739180295965,0.6607142857142857,0.575,0.9553571428571429,25.64511075700102
emg_relative_frequency,extra_trees,0.7125,0.13730273419100775,0.6972167004340243,0.14600378228627062,0.5803571428571429,0.6553571428571429,0.9017857142857143,9.57643968999946
emg_time_frequency,rbf_svm_c5,0.7267857142857143,0.17478728568776172,0.6931267910216862,0.19975068473535884,0.5589285714285714,0.6535714285714286,0.9678571428571429,0.35021976999996696
emg_time_frequency,random_forest,0.7250000000000001,0.12408680031979812,0.6878757211850125,0.14726375149962312,0.6910714285714286,0.5928571428571429,0.8910714285714286,19.69198491199859
emg_time_frequency,rbf_svm_c20,0.7160714285714286,0.1787142286170972,0.6805531430129363,0.20437488282785415,0.5589285714285714,0.6232142857142857,0.9660714285714286,0.32051877200137824
emg_basic,extra_trees,0.7244047619047619,0.07483447342434106,0.6788898697000388,0.08769815314250994,0.65,0.6964285714285714,0.8267857142857142,9.613845830999708
emg_basic,random_forest,0.7107142857142857,0.07450231699816616,0.6534030242270933,0.07022514644024731,0.7642857142857142,0.6053571428571428,0.7625,19.60737594800048
emg_basic,rbf_svm_c1,0.7000000000000001,0.07915100095627949,0.6387302505533201,0.07615060899300378,0.5892857142857143,0.7410714285714286,0.7696428571428572,0.6017337709999993
emg_basic,rbf_svm_c5,0.6946428571428571,0.07825966285342642,0.6334093605894477,0.07761872003041882,0.5857142857142857,0.7321428571428571,0.7660714285714286,0.6162858579991735
emg_basic,rbf_svm_c20,0.6922619047619047,0.07826419006616,0.6316556240106915,0.07729432491165432,0.5839285714285715,0.7267857142857143,0.7660714285714286,0.5631059589995857
emg_relative_frequency,random_forest,0.5964285714285714,0.10248817751629818,0.5932374597868018,0.09309684298006939,0.4517857142857143,0.6767857142857143,0.6607142857142857,20.163930287000767
emg_plus_imu_invariant,rbf_svm_c20,0.630357142857143,0.11597523486521086,0.5812506008537623,0.11287270767754388,0.6357142857142857,0.4857142857142857,0.7696428571428572,1.1573815249994368
emg_relative_frequency,hist_gradient_boosting,0.5970238095238095,0.12670884099180896,0.5800477158836375,0.12935005394489074,0.41785714285714287,0.6839285714285714,0.6892857142857143,5.794805387999077
emg_basic,hist_gradient_boosting,0.5928571428571429,0.10637622554191431,0.5578732664305486,0.1155733620160424,0.49642857142857144,0.5410714285714285,0.7410714285714286,5.0638060239998595
emg_plus_imu_invariant,rbf_svm_c5,0.5964285714285714,0.07259464851624585,0.5505617443371359,0.07256942368370856,0.6357142857142857,0.49464285714285716,0.6589285714285714,1.9599588940000103
emg_time_frequency,hist_gradient_boosting,0.5577380952380953,0.2020848674463124,0.5338170312302715,0.22111501211226553,0.2857142857142857,0.6178571428571429,0.7696428571428572,6.256280169998718
emg_plus_imu_invariant,hist_gradient_boosting,0.5779761904761905,0.228577628884158,0.5334828694234797,0.2609004889015426,0.3517857142857143,0.49107142857142855,0.8910714285714286,9.480931715001134
emg_plus_imu_invariant,rbf_svm_c1,0.4303571428571429,0.14687070300560467,0.3933434994533187,0.15900482816858266,0.6339285714285714,0.36428571428571427,0.29285714285714287,3.0117652349999844
